Make,Model,Type
DODGE,AVENGER-V6,MEDIUM SEDAN
DODGE,AVENGER-4 CYL.,MEDIUM SEDAN
FIAT,500,ECONOMY 
FIAT,500X,COMPACT SUV
FIAT,500L,COMPACT SUV
FIAT,500C,ECONOMY 
FORD,FUSION,FULL-SIZE SEDAN
FORD,MUSTANG,FULL-SIZE SEDAN
FORD,ESCAPE,MID-SIZE SUV
FORD,EXPLORER,FULL-SIZE SUV
FORD,FOCUS,ECONOMY 
FORD,F-150,FULL-SIZE TRUCK
FORD,F150 PICKUP,FULL-SIZE TRUCK
FORD,F150,FULL-SIZE TRUCK
FORD,FIESTA,ECONOMY 
FORD,EDGE,MID-SIZE SUV
FORD,ECOSPORT,COMPACT SUV
FORD,EXPLORER-V6,FULL-SIZE SUV
FORD,TAURUS,FULL-SIZE SEDAN
FORD,FLEX,FULL-SIZE SUV
FORD,EXPEDITION,FULL-SIZE SUV
FORD,FUSION HYBRID,FULL-SIZE SEDAN
FORD,F150 SUPERCREW-V8,FULL-SIZE TRUCK
FORD,ESCAPE-4 CYL.,MID-SIZE SUV
FORD,TRANSIT CONNECT,VAN
FORD,EXPEDITION EL,FULL-SIZE SUV
FORD,F250 SUPER DUTY,FULL-SIZE TRUCK
FORD,TRANSIT COMMERCIAL VANS,VAN
FORD,FLEX-V6,FULL-SIZE SUV
FORD,F150 SUPERCREW CAB,FULL-SIZE TRUCK
FORD,F250 SUPER DUTY-V8,FULL-SIZE TRUCK
FORD,TRANSIT CARGO VAN,VAN
FORD,TRANSIT VAN,VAN
FORD,TRANSIT CONNECT VAN,VAN
FORD,F350 SUPER DUTY,FULL-SIZE TRUCK
FORD,C-MAX,ECONOMY 
FORD,EXPEDITION-V8,FULL-SIZE SUV
FORD,TRANSIT CONNECT WAGON,VAN
FORD,F450 SUPER DUTY,FULL-SIZE TRUCK
FORD,F150 SUPER CAB,FULL-SIZE TRUCK
FORD,FUSION ENERGI,FULL-SIZE SEDAN
FORD,BRONCO SPORT,COMPACT SUV
FORD,C-MAX HYBRID,ECONOMY 
FORD,EXPEDITION MAX,FULL-SIZE SUV
FORD,FUSION-4 CYL.,FULL-SIZE SEDAN
FORD,TRANSIT CONNECT CARGO,VAN
FORD,EXPEDITION EL-V8,FULL-SIZE SUV
FORD,SUPER DUTY F-350 SRW,FULL-SIZE TRUCK
FORD,C-MAX ENERGI,ECONOMY 
FORD,MUSTANG MACH-E,FULL-SIZE SEDAN
FORD,TAURUS-V6,FULL-SIZE SEDAN
FORD,TRANSIT PASSENGER WAGON,VAN
FORD,RANGER-V6,MID-SIZE TRUCK
FORD,SUPER DUTY F-250 SRW,FULL-SIZE TRUCK
FORD,MAVERICK,FULL-SIZE TRUCK
FORD,OPTIMA HYBRID,
FORD,MEDIUM DUTY CARGO VANS,VAN
Ford,ECONOLINE WAGON,VAN
FORD,TRANSIT 350,VAN
FORD,F350 SUPER DUTY-V8,FULL-SIZE TRUCK
Ford,FOCUS-4 CYL.,ECONOMY 
FORD,FUSION-V6,FULL-SIZE SEDAN
GENESIS,G80,FULL-SIZE SEDAN
GENESIS,G70,FULL-SIZE SEDAN
GENESIS,GV80,MID-SIZE SUV
GMC,TERRAIN,FULL-SIZE SUV
GMC,SIERRA 1500,FULL-SIZE TRUCK
GMC,ACADIA,MID-SIZE SUV
GMC,CANYON,MID-SIZE TRUCK
GMC,YUKON,FULL-SIZE SUV
GMC,YUKON XL,FULL-SIZE SUV
GMC,SIERRA 1500 LIMITED,FULL-SIZE TRUCK
GMC,ACADIA LIMITED,MID-SIZE SUV
GMC,SIERRA 2500 HD,FULL-SIZE TRUCK
GMC,DENALI,FULL-SIZE SUV
GMC,MEDIUM DUTY CARGO VANS,VAN
GMC,SAVANA CARGO VAN,VAN
GMC,G2500 VAN,VAN
GMC,SIERRA 2500HD,FULL-SIZE TRUCK
GMC,CANYON CREW CAB,MID-SIZE TRUCK
GMC,SIERRA 1500 CREW CAB,FULL-SIZE TRUCK
GMC,SIERRA 1500 EXTENDED CAB,FULL-SIZE TRUCK
GMC,YUKON XL 1500,FULL-SIZE SUV
HONDA,CIVIC,MEDIUM SEDAN
HONDA,ACCORD,FULL-SIZE SEDAN
HONDA,CR-V,MID-SIZE SUV
HONDA,CIVIC SEDAN,MEDIUM SEDAN
HONDA,HR-V,COMPACT SUV
HONDA,ACCORD SEDAN,FULL-SIZE SEDAN
HONDA,PILOT,FULL-SIZE SUV
HONDA,FIT,COMPACT SUV
HONDA,ODYSSEY,VAN
HONDA,CIVIC HATCHBACK,ECONOMY 
HONDA,HR-V 2WD,COMPACT SUV
HONDA,PILOT-V6,FULL-SIZE SUV
HONDA,CR-V-4 CYL.,MID-SIZE SUV
HONDA,PILOT 2WD,FULL-SIZE SUV
HONDA,CR-V 2WD,MID-SIZE SUV
HONDA,CIVIC COUPE,ECONOMY 
HONDA,CIVIC SDN,MEDIUM SEDAN
HONDA,ACCORD SDN,FULL-SIZE SEDAN
HONDA,FIT-4 CYL.,COMPACT SUV
HONDA,ACCORD-4 CYL.,FULL-SIZE SEDAN
HONDA,CIVIC-4 CYL.,MEDIUM SEDAN
HONDA,CROSSTOUR,MID-SIZE SUV
HONDA,RIDGELINE,FULL-SIZE TRUCK
HONDA,ACCORD-V6,FULL-SIZE SEDAN
HONDA,ACCORD HYBRID,FULL-SIZE SEDAN
HONDA,ACCORD COUPE,FULL-SIZE SEDAN
HONDA,CR-V HYBRID,MID-SIZE SUV
HONDA,CIVIC SI SEDAN,MEDIUM SEDAN
HONDA,HR-V AWD,MID-SIZE SUV
HONDA,CIVIC CPE,MEDIUM SEDAN
HONDA,ODYSSEY-V6,VAN
Honda,ACCORD CPE,FULL-SIZE SEDAN
HONDA,ACCORD CROSSTOUR-V6,
HONDA,CIVIC HYBRID,MEDIUM SEDAN
HYUNDAI,ELANTRA,MEDIUM SEDAN
HYUNDAI,SONATA,FULL-SIZE SEDAN
HYUNDAI,TUCSON,MID-SIZE SUV
HYUNDAI,SANTA FE-4 CYL.,FULL-SIZE SUV
HYUNDAI,ACCENT,ECONOMY 
HYUNDAI,SANTA FE,FULL-SIZE SUV
HYUNDAI,KONA,COMPACT SUV
HYUNDAI,VELOSTER,ECONOMY 
HYUNDAI,TUCSON 2WD,MID-SIZE SUV
HYUNDAI,SANTA FE SPORT,FULL-SIZE SUV
HYUNDAI,SANTA FE-V6,FULL-SIZE SUV
HYUNDAI,VENUE,ECONOMY 
HYUNDAI,ELANTRA GT,MEDIUM SEDAN
HYUNDAI,GENESIS,FULL-SIZE SEDAN
HYUNDAI,KONA 2WD,COMPACT SUV
HYUNDAI,SANTA FE 2WD,FULL-SIZE SUV
HYUNDAI,PALISADE,FULL-SIZE SUV
HYUNDAI,PALISADE 2WD,FULL-SIZE SUV
HYUNDAI,SONATA-4 CYL.,FULL-SIZE SEDAN
HYUNDAI,SANTA FE XL,FULL-SIZE SUV
HYUNDAI,TUCSON-4 CYL.,MID-SIZE SUV
HYUNDAI,GENESIS-V8,FULL-SIZE SEDAN
HYUNDAI,SONATA HYBRID,FULL-SIZE SEDAN
HYUNDAI,ELANTRA-4 CYL.,MEDIUM SEDAN
HYUNDAI,TUCSON AWD,MID-SIZE SUV
HYUNDAI,GENESIS COUPE,FULL-SIZE SEDAN
HYUNDAI,PALISADE AWD,FULL-SIZE SUV
HYUNDAI,TUCSON HYBRID,MID-SIZE SUV
HYUNDAI,GENESIS-V6,FULL-SIZE SEDAN
HYUNDAI,VELOSTER-4 CYL.,ECONOMY 
HYUNDAI,GENESIS-4 CYL.,MEDIUM SEDAN
INFINITI,Q50,MEDIUM SEDAN
INFINITI,QX60,MID-SIZE SUV
INFINITI,QX30,COMPACT SUV
INFINITI,QX50,MID-SIZE SUV
INFINITI,QX70,FULL-SIZE SUV
INFINITI,Q60,FULL-SIZE SEDAN
INFINITI,JX35,COMPACT SUV
INFINITI,QX80,FULL-SIZE SUV
INFINITI,G37,MEDIUM SEDAN
INFINITI,G37-V6,MEDIUM SEDAN
INFINITI,Q40,MEDIUM SEDAN
INFINITI,QX56-V8,MID-SIZE SUV
INFINITI,FX,MID-SIZE SUV
INFINITI,G,MEDIUM SEDAN
INFINITI,Q70,FULL-SIZE SEDAN
INFINITI,M37-V6,FULL-SIZE SEDAN
INFINITI,QX,FULL-SIZE SUV
INFINITI,G37 COUPE,MEDIUM SEDAN
INFINITI,EX35-V6,MID-SIZE SUV
INFINITI,G25-V6,MEDIUM SEDAN
INFINITI,FX-V6/V8,MID-SIZE SUV
JAGUAR,XE,MEDIUM SEDAN
JAGUAR,F-PACE,MID-SIZE SUV
JAGUAR,XF,MEDIUM SEDAN
JAGUAR,XJ8,FULL-SIZE SEDAN
JEEP,CHEROKEE,FULL-SIZE SUV
JEEP,GRAND CHEROKEE,FULL-SIZE SUV
Jeep,COMPASS,MID-SIZE SUV
JEEP,RENEGADE,COMPACT SUV
JEEP,WRANGLER,COMPACT SUV
JEEP,PATRIOT,MID-SIZE SUV
JEEP,WRANGLER UNLIMITED,MID-SIZE SUV
JEEP,PATRIOT-4 CYL.,MID-SIZE SUV
JEEP,GLADIATOR,MID-SIZE TRUCK
JEEP,COMPASS-4 CYL.,MID-SIZE SUV
JEEP,WRANGLER-V6,COMPACT SUV
JEEP,RENEGADE 2WD,COMPACT SUV
JEEP,WRANGLER JK,COMPACT SUV
JEEP,NEW COMPASS,MID-SIZE SUV
JEEP,GRAND CHEROKEE L,FULL-SIZE SUV
JEEP,WRANGLER JK UNLIMITED,MID-SIZE TRUCK
JEEP,WRANGLER 4XE,COMPACT SUV
JEEP,CHEROKEE 2WD,MID-SIZE SUV
JEEP,LIBERTY-V6,MID-SIZE SUV
JEEP,LIBERTY,MID-SIZE SUV
KIA,FORTE,MEDIUM SEDAN
KIA,SOUL,COMPACT SUV
KIA,OPTIMA,FULL-SIZE SEDAN
KIA,SORENTO,MID-SIZE SUV
KIA,SPORTAGE,MID-SIZE SUV
KIA,RIO,COMPACT SUV
KIA,K5,MEDIUM SEDAN
KIA,SPORTAGE 2WD,MID-SIZE SUV
KIA,SEDONA,VAN
KIA,NIRO,ECONOMY 
KIA,SORENTO 2WD,MID-SIZE SUV
KIA,STINGER,MEDIUM SEDAN
KIA,CADENZA,FULL-SIZE SEDAN
KIA,SOUL-4 CYL.,COMPACT SUV
KIA,CARNIVAL,VAN
KIA,OPTIMA HYBRID,FULL-SIZE SEDAN
KIA,OPTIMA-4 CYL.,FULL-SIZE SEDAN
KIA,SOUL EV,COMPACT SUV
KIA,SORENTO-4 CYL.,MID-SIZE SUV
KIA,TELLURIDE 2WD,FULL-SIZE SUV
KIA,SELTOS 2WD,COMPACT SUV
KIA,FORTE5,MEDIUM SEDAN
KIA,SPORTAGE-4 CYL.,MID-SIZE SUV
KIA,SELTOS,COMPACT SUV
KIA,SELTOS AWD,COMPACT SUV
KIA,NIRO PLUG-IN HYBRID,COMPACT SUV
KIA,TELLURIDE,FULL-SIZE SUV
KIA,SORENTO-V6,MID-SIZE SUV
KIA,BORREGO,FULL-SIZE SUV
LAND ROVER,RANGE ROVER EVOQUE,COMPACT SUV
LAND ROVER,DISCOVERY SPORT,FULL-SIZE SUV
LAND ROVER,RANGE ROVER,FULL-SIZE SEDAN
LAND ROVER,RANGE ROVER VELAR,MID-SIZE SUV
LAND ROVER,LR2,FULL-SIZE SUV
LAND ROVER,RANGE ROVER SPORT,FULL-SIZE SUV
LEXUS,IS,MEDIUM SEDAN
LEXUS,NX,COMPACT SUV
LEXUS,RX,MID-SIZE SUV
LEXUS,ES,MEDIUM SEDAN
LEXUS,ES 350,MEDIUM SEDAN
LEXUS,RX 350,MID-SIZE SUV
LEXUS,IS 200T,MEDIUM SEDAN
LEXUS,IS 250,MEDIUM SEDAN
LEXUS,RC,MEDIUM SEDAN
LEXUS,GX,FULL-SIZE SUV
LEXUS,NX 200T,COMPACT SUV
LEXUS,IS-V6,MEDIUM SEDAN
Lexus,GS 350,FULL-SIZE SEDAN
LEXUS,CT 200H,ECONOMY 
LEXUS,GS,FULL-SIZE SEDAN
LEXUS,GX 460,FULL-SIZE SUV
LEXUS,CT,ECONOMY 
LEXUS,ES-V6,MEDIUM SEDAN
LINCOLN,MKZ,FULL-SIZE SEDAN
LINCOLN,MKC,COMPACT SUV
LINCOLN,MKX,MID-SIZE SUV
LINCOLN,CONTINENTAL,FULL-SIZE SEDAN
LINCOLN,MKX-V6,MID-SIZE SUV
LINCOLN,NAVIGATOR,FULL-SIZE SUV
LINCOLN,MKS,FULL-SIZE SEDAN
MASERATI,GHIBLI,FULL-SIZE SEDAN
MASERATI,QUATTROPORTE,FULL-SIZE SEDAN
MAZDA,CX-5,MID-SIZE SUV
MAZDA,MAZDA3,MEDIUM SEDAN
MAZDA,MAZDA6,FULL-SIZE SEDAN
MAZDA,CX-3,COMPACT SUV
MAZDA,CX-9,FULL-SIZE SUV
MAZDA,MAZDA3 4-DOOR,MEDIUM SEDAN
MAZDA,MAZDA3 SEDAN,MEDIUM SEDAN
MAZDA,CX-30,COMPACT SUV
MAZDA,MAZDA3 5-DOOR,MEDIUM SEDAN
MAZDA,MAZDA3 HATCHBACK,MEDIUM SEDAN
MAZDA,CX-9-V6,FULL-SIZE SUV
MAZDA,MAZDA5,MEDIUM SEDAN
MAZDA,MAZDA3-4 CYL.,MEDIUM SEDAN
MAZDA,MX-5 MIATA,ECONOMY 
MAZDA,MAZDA2,ECONOMY 
MAZDA,MAZDA6-4 CYL.,FULL-SIZE SEDAN
MERCEDES-BENZ,C CLASS,MEDIUM SEDAN
MERCEDES-BENZ,E CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,C-CLASS,MEDIUM SEDAN
MERCEDES-BENZ,CLA CLASS,ECONOMY 
MERCEDES-BENZ,GLA CLASS,COMPACT SUV
MERCEDES-BENZ,GLE CLASS,MID-SIZE SUV
MERCEDES-BENZ,CLA,ECONOMY 
MERCEDES-BENZ,GLC CLASS,MID-SIZE SUV
MERCEDES-BENZ,E-CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,A CLASS,ECONOMY 
MERCEDES-BENZ,GLA,COMPACT SUV
MERCEDES-BENZ,GLK CLASS,MID-SIZE SUV
MERCEDES-BENZ,M CLASS,FULL-SIZE SUV
MERCEDES-BENZ,GL CLASS,FULL-SIZE SUV
MERCEDES-BENZ,GL-CLASS,FULL-SIZE SUV
MERCEDES-BENZ,GLA-CLASS,COMPACT SUV
MERCEDES-BENZ,CLS CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,CLA-CLASS,MEDIUM SEDAN
MERCEDES-BENZ,GLE,FULL-SIZE SUV
MERCEDES-BENZ,GLK-CLASS,MID-SIZE SUV
MERCEDES-BENZ,S-CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,S CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,SL CLASS,FULL-SIZE SEDAN
MERCEDES-BENZ,A-CLASS,ECONOMY 
MERCEDES-BENZ,SPRINTER,VAN
MERCEDES-BENZ,CL CLASS,MEDIUM SEDAN
MERCEDES-BENZ,GLC,MID-SIZE SUV
MERCEDES-BENZ,M-CLASS,FULL-SIZE SUV
MERCEDES-BENZ,R-CLASS,VAN
MERCEDES-BENZ,GLA 250,COMPACT SUV
MINI,COOPER,ECONOMY 
MINI,COOPER HARDTOP,ECONOMY 
MINI,COUNTRYMAN,ECONOMY 
MINI,COOPER-4 CYL.,ECONOMY 
MINI,HARDTOP 2 DOOR,ECONOMY 
MINI,COOPER CONVERTIBLE,ECONOMY 
MINI,COOPER COUNTRYMAN,ECONOMY 
MINI,COOPER HARDTOP 4 DOOR,ECONOMY 
MITSUBISHI,OUTLANDER,MID-SIZE SUV
MITSUBISHI,OUTLANDER SPORT,MID-SIZE SUV
MITSUBISHI,MIRAGE,ECONOMY 
MITSUBISHI,MIRAGE G4,ECONOMY 
MITSUBISHI,ECLIPSE CROSS,MID-SIZE SUV
MITSUBISHI,OUTLANDER 2WD,MID-SIZE SUV
MITSUBISHI,LANCER,MEDIUM SEDAN
MITSUBISHI,LANCER EVOLUTION,MEDIUM SEDAN
MITSUBISHI,OUTLANDER-4 CYL.,MID-SIZE SUV
MITSUBISHI,OUTLANDER SPORT-4 CYL.,MID-SIZE SUV
NISSAN,SENTRA,MEDIUM SEDAN
NISSAN,ALTIMA,FULL-SIZE SEDAN
NISSAN,ROGUE,MID-SIZE SUV
NISSAN,ROGUE SPORT,MID-SIZE SUV
NISSAN,VERSA,ECONOMY 
NISSAN,PATHFINDER,FULL-SIZE SUV
NISSAN,KICKS,COMPACT SUV
NISSAN,MAXIMA,FULL-SIZE SEDAN
NISSAN,MURANO,FULL-SIZE SUV
NISSAN,VERSA SEDAN,ECONOMY 
NISSAN,FRONTIER CREW CAB-V6,MID-SIZE TRUCK
NISSAN,ROGUE 2WD,MID-SIZE SUV
NISSAN,ARMADA,FULL-SIZE SUV
NISSAN,FRONTIER,MID-SIZE SUV
NISSAN,TITAN,FULL-SIZE TRUCK
NISSAN,ROGUE SELECT,MID-SIZE SUV
NISSAN,JUKE,COMPACT SUV
NISSAN,ROGUE SPORT 2WD,MID-SIZE SUV
NISSAN,VERSA NOTE,ECONOMY 
NISSAN,FRONTIER KING CAB-4 CYL.,MID-SIZE TRUCK
NISSAN,MURANO-V6,FULL-SIZE SUV
NISSAN,PATHFINDER 2WD,FULL-SIZE SUV
NISSAN,QUEST,VAN
NISSAN,FRONTIER CREW CAB,MID-SIZE TRUCK
NISSAN,ROGUE-4 CYL.,MID-SIZE SUV
NISSAN,FRONTIER 4WD,MID-SIZE TRUCK
NISSAN,MURANO 2WD,FULL-SIZE SUV
NISSAN,NISSAN NV COMMERCIAL VAN,VAN
NISSAN,NV200 COMPACT CARGO,VAN
NISSAN,FRONTIER KING CAB,MID-SIZE TRUCK
NISSAN,TITAN CREW CAB-V8,FULL-SIZE TRUCK
NISSAN,ALTIMA-V6,FULL-SIZE SEDAN
NISSAN,370Z,MEDIUM SEDAN
NISSAN,ROGUE AWD,MID-SIZE SUV
NISSAN,NV200,VAN
NISSAN,FRONTIER 2WD,MID-SIZE TRUCK
NISSAN,PATHFINDER-V6,FULL-SIZE SUV
NISSAN,VERSA-4 CYL.,ECONOMY 
NISSAN,TITAN XD,FULL-SIZE TRUCK
NISSAN,MAXIMA-V6,FULL-SIZE SEDAN
NISSAN,TITAN KING CAB-V8,FULL-SIZE SUV
NISSAN,SENTRA-4 CYL.,MEDIUM SEDAN
NISSAN,ALTIMA-4 CYL.,FULL-SIZE SEDAN
NISSAN,JUKE-4 CYL. TURBO,COMPACT SUV
NISSAN,XTERRA-V6,FULL-SIZE SUV
NISSAN,TITAN CREW CAB,FULL-SIZE TRUCK
NISSAN,ARMADA-V8,FULL-SIZE SUV
NISSAN,NV,VAN
PORSCHE,MACAN,MID-SIZE SUV
PORSCHE,CAYENNE,FULL-SIZE SUV
PORSCHE,718 CAYMAN,MEDIUM SEDAN
PORSCHE,PANAMERA,FULL-SIZE SEDAN
RAM,RAM 1500 PICKUP-V8,FULL-SIZE TRUCK
RAM,RAM 1500 PICKUP,FULL-SIZE TRUCK
RAM,1500,FULL-SIZE TRUCK
RAM,RAM 1500 CLASSIC,FULL-SIZE TRUCK
RAM,1500 CLASSIC,FULL-SIZE TRUCK
RAM,RAM 2500 PICKUP-V8,FULL-SIZE TRUCK
RAM,3500,FULL-SIZE TRUCK
RAM,RAM 2500 PICKUP,FULL-SIZE TRUCK
RAM,2500,FULL-SIZE TRUCK
RAM,1500 CREW CAB,FULL-SIZE TRUCK
RAM,1500 QUAD CAB,FULL-SIZE TRUCK
RAM,RAM 2500 4WD,FULL-SIZE TRUCK
RAM,PROMASTER CITY CARGO VAN,VAN
RAM,RAM 3500 PICKUP-I6,FULL-SIZE TRUCK
RAM,PROMASTER CITY,VAN
RAM,1500 REGULAR CAB,FULL-SIZE TRUCK
RAM,PROMASTER CARGO VAN,VAN
SCION,TC,MEDIUM SEDAN
SCION,IA,MEDIUM SEDAN
SCION,IM,MEDIUM SEDAN
SUBARU,WRX,MEDIUM SEDAN
SUBARU,FORESTER,MID-SIZE SUV
SUBARU,IMPREZA-4 CYL.,MEDIUM SEDAN
SUBARU,LEGACY,MEDIUM SEDAN
SUBARU,CROSSTREK,COMPACT SUV
SUBARU,OUTBACK,MID-SIZE SUV
SUBARU,XV CROSSTREK,COMPACT SUV
SUBARU,IMPREZA,MEDIUM SEDAN
SUBARU,BRZ,MEDIUM SEDAN
SUBARU,ASCENT,FULL-SIZE SUV
SUBARU,IMPREZA WAGON WRX,MEDIUM SEDAN
SUBARU,OUTBACK-4 CYL.,MID-SIZE SUV
SUBARU,IMPREZA WAGON,FULL-SIZE SEDAN
SUBARU,FORESTER-4 CYL.,MID-SIZE SUV
TESLA,MODEL 3,MEDIUM SEDAN
TOYOTA,COROLLA,MEDIUM SEDAN
TOYOTA,CAMRY,FULL-SIZE SEDAN
TOYOTA,RAV4,MID-SIZE SUV
TOYOTA,C-HR,COMPACT SUV
TOYOTA,TACOMA,MID-SIZE TRUCK
TOYOTA,HIGHLANDER,MID-SIZE SUV
TOYOTA,TACOMA 2WD,MID-SIZE TRUCK
TOYOTA,SIENNA,VAN
TOYOTA,4RUNNER,FULL-SIZE SUV
TOYOTA,YARIS IA,ECONOMY 
TOYOTA,TUNDRA,FULL-SIZE TRUCK
TOYOTA,YARIS,ECONOMY 
